,date,OBJECTID,latitude,longitude,country,fatalities,injuries,type,trigger,severity,location,FID,source_nam,source_lin,event_time,event_id,event_titl,event_desc,location_d,location_a,storm_name,photo_link,comments,event_impo,event_im_1,latitude.1,longitude.1,country_co,admin_divi,gazetteer_,gazetteer1,submitted_,last_edite,slope
3767,2013/05/11 00:00:00+00,10730,23.7281,92.7175,India,15,0,landslide,rain,large,unknown,1548905,articles.timesofindia.indiatimes.com,http://articles.timesofindia.indiatimes.com/2013-05-12/guwahati/39203177_1_young-mizo-association-aizawl-rescue-work,9:00,4857,"Laipuitland , Aizawl, Mizoram",Landslides triggered by a cyclonic storm and heavy pre-monsoon rain claimed at least 10 lives and swept away nine houses in the northern part of Aizawl on Saturday morning. Seven more people are missing.,"Laipuitland , Aizawl, Mizoram",25km, , , ,GLC,4857,23.7281,92.7175,IN,Mizoram,Aizwal,9.27,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,76
3768,2018/06/14 00:00:00+00,5,11.46851,75.9434,India,14,0,landslide,continuous_rain,large,natural_slope,1537383,The Times Of India,https://timesofindia.indiatimes.com/city/kozhikode/seven-dead-in-kerala-landslide-many-villagers-missing/articleshow/64595401.cms,3:00,11548,Kattipara Landslide,"2 landslides happened in Karinchola mala, Kattipara Panchayat in Thamarassery in Kozhikode district. First landslide occured in the North side of Karinchola Mala at 3.30 am (local time). Second landslide occurred at other side of Kainchola Mala at 5.30 a","Kattippara, Kozhikode Sub-District, Kozhikode, Kerala",1km, ,https://english.mathrubhumi.com/polopoly_fs/1.2891219.1529437941!/image/image.jpg_gen/derivatives/landscape_728_450/image.jpg, ,LRC, ,11.46851,75.9434,IN,Kerala,Meppadi,24.11,2018/08/03 00:00:00+00,2019/05/16 00:00:00+00,81
3769,2014/08/15 00:00:00+00,6590,30.1176,78.7472,India,14,0,debris_flow,rain,medium,unknown,1544362,ABC,http://www.abc.net.au/news/2014-08-16/an-floods2c-landslide-leave-17-dead-in-northern-india/5675282, ,6510,Pauri district of Uttarakhand,"Fourteen people were killed when their houses were buried by a tide of mud and trees, emergency official Piyush Rautela told AFP.",Pauri district of Uttarakhand,unknown, ,http://www.abc.net.au/news/image/5675284-3x2-940x627.jpg, ,GLC,6510,30.1176,78.7472,IN,Uttaranchal,Alaknanda,12.85,2014/12/15 00:00:00+00,2019/05/16 00:00:00+00,72
3770,2009/05/26 00:00:00+00,8858,27.04357147,88.26522126,India,14,0,landslide,tropical_cyclone,medium,unknown,1545833,headlinesindia,http://www.headlinesindia.com/natural-disasters/flood/darjeeling-landslide-toll-reaches-27-12747.html, ,1030,"Darjeeling Sadar, Darjeeling West Bengal","With the recovery of three more bodies, the toll in the landslides in West Bengal's hill district of Darjeeling due to Cyclone Aila has risen to 27, police said today.   ""We have recovered three bodies from the debris at Rangiabong under Jorbungalow poli","Darjeeling Sadar, Darjeeling West Bengal",25km,Aila, , ,GLC,1030,27.04357147,88.26522126,IN,West Bengal,Darjeeling,0.68,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,86
3771,2017/07/11 00:00:00+00,10167,27.20938411,93.61539279,India,14,0,landslide,continuous_rain,large,natural_slope,1548345,Hindustan Times,http://www.hindustantimes.com/india-news/14-people-feared-dead-in-massive-landslide-in-arunachal-pradesh/story-I1ogsSk2zfyvXm2wGlmjWP.html,16:00,11168,Large landslide at Laptap village,"Landslide after incessant rains buries 3 dwellings, kills 14","Laptap, Papum Pare, Arunachal Pradesh, India",exact, ,http://www.hindustantimes.com/rf/image_size_960x540/HT/p2/2017/07/11/Pictures/_cb57521a-663f-11e7-99b4-5703255acffe.jpg, ,GLC, ,27.20938411,93.61539279,IN,Arunachal Pradesh,Dafla Hills,46.87,2017/07/11 00:00:00+00,2019/05/16 00:00:00+00,96
3772,2008/07/18 00:00:00+00,11093,29.33,80.1,India,14,0,landslide,rain,medium,unknown,1548068,dailynews365,http://www.dailynews365.com/national-news/landslides-killed-14-in-uttarakhand/, ,653,Sukhidhang area of Champawat district in Uttarakhand,At least 14 people have been killed & 12 others injured after a passenger bus was hit by landslides,Sukhidhang area of Champawat district in Uttarakhand,5km, , , ,GLC,653,29.33,80.1,IN,Uttaranchal,Tanakpur,28.51,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,41
3773,2014/09/06 00:00:00+00,7902,33.5405,74.3723,India,13,0,landslide,downpour,medium,unknown,1545281,ANI News,http://www.aninews.in/videogallery8/27814-thousands-left-homeless-as-landslide-ravages-poonch-in-kashmir.html, ,6339,Thanmandi area of Rajouri,"A major landslide in Poonch district of Kashmir trapped many and rendered thousands homeless. The landslide, attributed to heavy rains, has disconnected the area from the rest of the state and is posing a major threat to relief and rescue operations. Ind",Thanmandi area of Rajouri,5km, ,http://www.aninews.in/contentimages/detail/landslide88.jpg, ,GLC,6339,33.5405,74.3723,IN,Jammu and Kashmir,Rajaori,18.64,2014/11/06 00:00:00+00,2019/05/16 00:00:00+00,69
3774,2017/05/20 00:00:00+00,8721,30.73315585,79.49231617,India,13,0,landslide,rain,large,natural_slope,1547292,Etemaa Daily,http://www.en.etemaaddaily.com/World/National/uttarkhand-landslide-death-toll-increases-to-13-highway-open-to-traffic:29191, ,9809,Badrinath highway landslide,Landslide on highway to Hindu temple Badrinath kills multiple and traps/blocks thousands of pilgrims,"Highway to Badrinath, Uttarakhand",25km, ,http://en.etemaaddaily.com/pages/world/national/1723uttarkhandlandslide.jpg, ,GLC, ,30.73315585,79.49231617,IN,Uttaranchal,Saraswati,1.49,2017/06/20 00:00:00+00,2019/05/16 00:00:00+00,254
3775,2013/06/17 00:00:00+00,13017,30.6945,79.0544,India,13,0,landslide,downpour,large,unknown,1550792,ibnlive.in.com,http://ibnlive.in.com/news/uttarakhand-floods-landslides-leave-40-dead-over-60000-stranded/399619-3.html, ,4936,"Rambara District, Uttarakhand","The Dehradun Met department says the state capital received a record 340 mm of rainfall on Monday and the Met department has forecast more heavy rains in the next 24 hours. Several roads, including the National Highway 24, have been blocked to avoid any","Rambara District, Uttarakhand",1km, , , ,GLC,4936,30.6945,79.0544,IN,Uttaranchal,Gaundar,14.65,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,115
3776,2009/09/03 00:00:00+00,1145,19.0949,72.8899,India,12,0,mudslide,downpour,large,unknown,1538523,in.reuters,http://in.reuters.com/article/topNews/idINIndia-42219120090904,23:00,1133,"Saki Naka in Andheri area, Mumbai suburb/slum (Sakinaka is around 23 miles (35 kilometers) from downtown Mumbai)","heavy rains sent rocks and mud from a hill crashing into a slum late on Thursday. Around 20 tin-roofed shanties were buried under mud and rocks after a heavy downpour forced a nearby hillside to collapse late Thursday night in Sakinaka, a northeast Mumba","Saki Naka in Andheri area, Mumbai suburb/slum (Sakinaka is around 23 miles (35 kilometers) from downtown Mumbai)",10km, , , ,GLC,1133,19.0949,72.8899,IN,Maharashtra,Bombay,2.43,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,48
3777,2008/05/01 00:00:00+00,2686,33.1463,75.7454,India,12,0,complex,unknown,medium,unknown,1541260,hindustantimes,http://www.hindustantimes.com/StoryPage/StoryPage.aspx?id=593a0165-aeb4-4e79-911b-6cdb0ff1ecf2&MatchID1=4698&TeamID1=2&TeamID2=5&MatchType1=1&SeriesID1=1185&PrimaryID=4698&Headline=30+killed+in+J&amp;K+landslide, ,516,"Kishtwar-Chatroo road, Kishtwar region of Jammu and Kashmir","two trucks, which were hit by a massive landslide on the mountainous road at around 9 a.m","Kishtwar-Chatroo road, Kishtwar region of Jammu and Kashmir",25km, , , ,GLC,516,33.1463,75.7454,IN,Jammu and Kashmir,Khandhot,1.34,2014/09/11 00:00:00+00,2019/05/16 00:00:00+00,96
3778,2010/04/02 00:00:00+00,3586,27.8997,93.3497,India,12,0,mudslide,downpour,large,unknown,1540563,english.peopledaily,http://english.peopledaily.com.cn/90001/90777/90852/6938742.html,23:00,1613,"Koloriang, Kuring Kumey district, Arunachal Pradesh","At least seven persons, including four children, were buried alive after torrential rains triggered landslides caved in their dwelling house at Koloriang, the headquarters of remote Kurung Kumey district in Arunachal Pradesh, last night.  The disaster oc","Koloriang, Kuring Kumey district, Arunachal Pradesh",1km, , , ,GLC,1613,27.8997,93.3497,IN,Arunachal Pradesh,Miri Hills,20.46,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,192
3779,2018/08/15 00:00:00+00,4292,11.19838929,75.89666866,India,12,2,mudslide,continuous_rain,small,natural_slope,1542469,"Mathrubhumi News and all other Major News media in Kerala, India",https://english.mathrubhumi.com/mobile/news/kerala/mudslide-kills-seven-in-malappuram-1.3063936,0:00,11576,Malappuram Landslides in Peringavu,"At 12am, nine members of a family were killed when a house collapsed in Peringavu. The landslide occurred when the family reached the house to take the pets to safety after heavy rains flooded the area, trapping the family in the house. In a separate inc","Peringave, Vazhayur, Ernad, Malappuram, Kerala",5km, , , ,LRC, ,11.19838929,75.89666866,IN,Kerala,Beypore,5.21,2018/08/16 00:00:00+00,2019/05/16 00:00:00+00,32
3780,2008/10/29 00:00:00+00,4861,27.4,92.35,India,12,0,mudslide,downpour,medium,unknown,1542632,sindhtoday,http://www.sindhtoday.net/south-asia/32058.htm, ,870,"West Kameng, Arunachal Pradesh",So far about 12 people have died in separate incidents. Most victims died after hillocks caved in on their houses or they were washed away in flash floods caused by unseasonal heavy rains for the past four days,"West Kameng, Arunachal Pradesh",50km, , , ,GLC,870,27.4,92.35,IN,Arunachal Pradesh,Nashir,13.16,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,96
3781,2015/06/22 00:00:00+00,5245,17.5861,73.1742,India,12,0,landslide,downpour,medium,unknown,1541422,dna,http://www.dnaindia.com/india/report-ratnagiri-landslide-at-least-12-people-feared-buried-under-debris-2097800,3:00,6949,Dabhol village of Maharashtra's Ratnagiri district,At least 12 people are feared to be buried under the debris after three houses collapsed,Dabhol village of Maharashtra's Ratnagiri district,5km, , , ,GLC,6949,17.5861,73.1742,IN,Maharashtra,Mahar Wari,18.53,2015/06/25 00:00:00+00,2019/05/16 00:00:00+00,41
3782,2010/04/21 00:00:00+00,5312,27.8965,96.1779,India,12,0,landslide,downpour,medium,unknown,1541488,gsi.gov,"http://www.portal.gsi.gov.in/portal/page?_pageid=127,875814&_dad=portal&_schema=PORTAL", ,1775,Arunachal Pradesh,"As per PTI report at least 12 people have died in Arunachal Pradesh due to landslides triggered by heavy rains on 21st April 2010. Landslides have cut off road links at Lohit, Upper Siang, Dibang Valley, Anjan and East Kameng districts.",Arunachal Pradesh,unknown, , , ,GLC,1775,27.8965,96.1779,IN,Arunachal Pradesh,Te-ju,2.03,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,9
3783,2007/08/12 00:00:00+00,2090,32.7334,77.5914,India,11,0,landslide,rain,medium,unknown,1539469,Himachal news,http://himachal.us/2007/08/13/11-dead-in-himachal-as-rain-throws-life-out-of-gear/2654/general/himachal-news, ,177,"Himachal Pradesh, all over",Himachal news,"Himachal Pradesh, all over",unknown, , , ,GLC,177,32.7334,77.5914,IN,Himachal Pradesh,Malung,21.36,2014/04/01 00:00:00+00,2019/05/16 00:00:00+00,146
3784,2010/08/06 00:00:00+00,6692,34.1481,77.6538,India,11,0,landslide,downpour,large,unknown,1544464,alertnet,http://www.alertnet.org/thenews/fromthefield/222031/128136284695.htm,0:00,2207,"Sabu(Saboo) village, Leh, Ladakh, Jammu and Kashmir","On the night of 5th and 6th August 2010, between 00:00 hrs and 00:30 hrs, intensive rainfall followed by massive cloudburst in high altitude terrain of Leh (3505m), triggered numerous debris flows, mud flows (earth spreads) and sand flows. These widespre","Sabu(Saboo) village, Leh, Ladakh, Jammu and Kashmir",5km, , , ,GLC,2207,34.1481,77.6538,IN,Jammu and Kashmir,Leh,7.67,2014/09/11 00:00:00+00,2019/05/16 00:00:00+00,83
