FID,latitude,longitude,country_na,event_date,event_time
141,20.8482,92.4524,Myanmar,2010/10/07 00:00:00+00,23:00
144,4.312,101.1519,Malaysia,2011/11/25 00:00:00+00, 
145,7.8963,98.3095,Thailand,2010/06/06 00:00:00+00, 
148,25.4916,91.2698,India,2010/06/28 00:00:00+00, 
150,25.0604,93.9877,India,2007/09/08 00:00:00+00, 
151,27.7884,84.4866,Nepal,2010/09/06 00:00:00+00,05:00
153,33.7732,74.1011,India,2015/03/15 00:00:00+00, 
154,2.95125996,99.05794408,Indonesia,2015/12/01 00:00:00+00,18:00
157,20.142056699999998,97.71097728,Myanmar,1970/01/01 00:00:00+00, 
158,36.8532,75.4377,China,2015/07/27 00:00:00+00, 
161,27.9586,84.2805,Nepal,2009/07/02 00:00:00+00, 
162,36.23,111.38,China,2008/09/08 00:00:00+00,08:00
166,32.677,109.0241,China,2007/08/07 00:00:00+00, 
167,-8.198,115.1374,Indonesia,2013/02/18 00:00:00+00, 
171,8.4987,123.304,Philippines,2014/01/12 00:00:00+00, 
173,18.23,120.6,Philippines,2008/09/23 00:00:00+00, 
174,26.9226,107.3407,China,2014/08/27 00:00:00+00,20:00
175,33.3893,75.203,India,2010/07/22 00:00:00+00,05:00
176,27.5,90.5034,Bhutan,2010/08/23 00:00:00+00,07:00
178,27.0605,88.255,India,2011/09/25 00:00:00+00, 
182,17.5291,121.3267,Philippines,2016/10/20 00:00:00+00, 
184,27.8871,83.9704,Nepal,2011/07/15 00:00:00+00, 
189,34.166,73.1983,Pakistan,2016/07/27 00:00:00+00, 
190,25.0985,94.3619,India,2013/09/24 00:00:00+00, 
193,33.33875958,75.1921061,India,2011/02/13 00:00:00+00, 
194,26.6378,114.1384,China,2014/08/12 00:00:00+00,23:00
196,33.2609,75.244,India,2011/02/16 00:00:00+00,18:00
197,-8.3251,115.087,Indonesia,2010/12/13 00:00:00+00, 
198,25.8833,91.2,India,2010/06/09 00:00:00+00,14:00
199,-6.9197,106.9272,Indonesia,2014/01/11 00:00:00+00, 
203,6.3667,116.4333,Malaysia,2008/11/23 00:00:00+00, 
205,32.9778,130.8266,Japan,2016/04/16 00:00:00+00, 
207,37.4138,127.5183,South Korea,2011/06/29 00:00:00+00, 
208,33.3308,75.1773,India,2011/03/19 00:00:00+00, 
210,25.9365,99.3373,China,2013/09/08 00:00:00+00,22:00
211,28.12,82.86,Nepal,2010/01/10 00:00:00+00,09:00
212,7.4239,80.6104,Sri Lanka,2011/01/09 00:00:00+00, 
214,28.2134,83.9557,Nepal,2014/08/25 00:00:00+00,09:00
215,27.0987,93.816,India,2015/06/09 00:00:00+00, 
217,10.0222,106.5408,Vietnam,2013/01/31 00:00:00+00, 
220,30.2828,78.3041,India,2011/08/10 00:00:00+00, 
221,28.3922,83.1913,Nepal,2013/09/03 00:00:00+00, 
222,19.069000000000003,72.8703,India,2010/06/25 00:00:00+00, 
224,13.3125,123.7465,Philippines,2012/02/12 00:00:00+00, 
225,16.5702,120.5204,Philippines,2009/09/26 00:00:00+00, 
229,-7.2337,109.0605,Indonesia,2013/02/06 00:00:00+00,21:00
230,-1.7853,116.0932,Indonesia,2010/05/24 00:00:00+00, 
232,34.6113,74.9499,India,2012/08/21 00:00:00+00, 
235,28.0063,83.7826,Nepal,2010/07/11 00:00:00+00,09:00
238,30.7333,78.4403,India,2010/09/12 00:00:00+00, 
239,16.7667,120.7617,Philippines,2013/08/19 00:00:00+00, 
240,29.5311,81.9616,Nepal,2011/08/25 00:00:00+00, 
241,8.4441,98.5132,Thailand,2016/05/29 00:00:00+00, 
248,3.7944,113.6308,Malaysia,2014/01/22 00:00:00+00, 
249,30.7198,77.1695,India,2010/09/19 00:00:00+00, 
251,33.6303,74.4838,India,2015/05/14 00:00:00+00,09:00
253,12.6445,75.605,India,2008/08/10 00:00:00+00, 
254,30.261999999999997,79.2191,India,2013/07/24 00:00:00+00, 
256,15.0275,74.1623,India,2016/06/18 00:00:00+00, 
257,17.4303,73.5097,India,2011/08/30 00:00:00+00, 
259,10.5979,123.478,Philippines,2011/12/28 00:00:00+00, 
262,11.9312,108.4652,Vietnam,2013/08/26 00:00:00+00, 
267,28.2872,84.2015,Nepal,2015/08/04 00:00:00+00, 
272,26.09748244,91.87443370000001,India,2016/07/19 00:00:00+00,09:00
274,27.02459801,88.43849551,India,2009/08/16 00:00:00+00,09:00
275,23.5134,111.0843,China,2013/08/17 00:00:00+00,04:00
277,0.7089,107.7503, ,2008/10/18 00:00:00+00, 
280,-7.3901,109.3613,Indonesia,2012/04/08 00:00:00+00,21:00
283,26.8905,88.2789,India,2007/08/02 00:00:00+00, 
284,6.5368,124.5618,Philippines,2011/08/12 00:00:00+00, 
288,36.1207,103.3173,China,2012/02/07 00:00:00+00,17:00
290,15.7833,121.4667,Philippines,2011/11/09 00:00:00+00,17:00
293,33.7705,74.0967,India,2013/08/14 00:00:00+00, 
295,22.75,104.6667,Vietnam,2008/08/27 00:00:00+00, 
296,22.2931,103.9618,Vietnam,2010/07/24 00:00:00+00, 
299,30.6463,79.5306,India,2010/08/09 00:00:00+00, 
300,11.8006,125.3731,Philippines,2013/02/20 00:00:00+00,22:00
304,8.5061,98.6715,Thailand,2011/03/30 00:00:00+00,08:00
305,33.3376,75.1922,India,2015/02/26 00:00:00+00, 
306,26.1844,91.7896,India,2014/06/26 00:00:00+00,23:00
308,34.0823,74.056,India,2014/03/11 00:00:00+00, 
