landslide,forest2,ARI3,osm,slope
1,1,0.896284325,433,22.012
1,1,0.318662372,445,34.101
1,1,1.409695104,672,25.38
1,1,1.279388858,681,29.537
1,1,1.122024066,3909,0.0
1,1,0.186833333,3930,4.063
1,1,0.686361983,4597,30.007
1,1,0.29766950000000003,4597,12.026
1,1,0.590724499,4611,13.668
1,1,1.389075337,5236,7.0139999999999985
1,1,0.0,5261,0.853
1,1,0.6192042179999999,5265,0.0
1,1,2.121259482,5290,22.175
1,1,0.009425868,5298,11.203
1,1,0.053036024,5423,9.15
1,1,4.958220496,5453,1.595
1,1,5.540630191,5463,12.562
1,1,0.567020898,5472,21.632
1,1,0.153328884,5495,23.914
1,1,1.548855749,5499,22.002
1,1,1.175207833,5588,4.727
1,1,1.039312512,5603,0.0
1,1,2.44205324,5610,0.0
1,1,0.0,5865,12.823
1,1,0.003187329,5874,18.61
1,1,8.846627619,6197,25.606
1,1,0.170765821,6208,24.796
1,1,2.347281209,6477,29.888
1,1,8.084340467,6480,21.375
1,1,0.845432558,6610,12.46
1,1,0.400314608,6886,29.621
1,1,3.029874644,7111,0.763
1,1,0.439138896,7151,15.177
1,1,1.215110188,7486,15.648
1,1,5.244205624,7787,1.906
1,1,1.58828488,7787,27.038
1,1,0.498274718,7795,4.95
1,1,0.161250333,7895,19.346
1,1,0.019390958,7895,3.622
1,1,0.050919263,8041,5.714
1,1,0.394855277,8047,23.4
1,1,2.371498907,8067,21.877
1,1,0.8294662909999999,8084,25.881
1,1,1.4989474319999998,8094,16.779
1,1,3.43915577,8109,24.387
1,1,9.615010443,8109,16.413
1,1,0.116366745,8434,0.0
1,1,2.53377631,8604,6.424
1,1,0.0,8681,2.992
1,1,1.628654085,8682,29.653
1,1,1.272045628,9138,12.129
1,1,1.306392281,9203,0.6859999999999999
1,1,0.0,9529,26.176
1,0,0.200670089,9538,4.649
1,1,0.0,9792,8.885
1,1,0.278460033,9796,0.0
1,1,1.944223248,9813,14.594
1,1,2.969905993,9856,0.0
1,1,0.370163604,9877,22.71
