13408 23.8917 90.9733 2007/09/10 00:00:00+00 Bangladesh 2 0 mudslide rain medium unknown
13388 22.2009 92.2168 2011/08/08 00:00:00+00 Bangladesh 2 0 landslide rain medium unknown
10859 22.6239 91.6743 2016/05/21 00:00:00+00 Bangladesh 2 0 landslide tropical_cyclone small unknown
9735 24.5582 88.1825 2015/04/19 00:00:00+00 Bangladesh 2 0 mudslide dam_embankment_collapse small above_river
9320 22.3521 91.8151 2013/07/28 00:00:00+00 Bangladesh 2 0 landslide downpour medium unknown
8478 21.0853 92.1414 2015/06/27 00:00:00+00 Bangladesh 2 0 landslide flooding medium unknown
8412 21.4384 92.0082 2010/06/15 00:00:00+00 Bangladesh 2 0 landslide downpour medium unknown
7432 22.59420297 92.16404889 2017/06/12 00:00:00+00 Bangladesh 2 0 landslide rain medium ...
5473 23.438189 91.125374 2017/03/16 00:00:00+00 Bangladesh 2 1 landslide construction small natural_slope
4998 22.80452414 91.91261915 2017/06/13 00:00:00+00 Bangladesh 2 0 landslide downpour medium natural_slope
3980 22.2144 92.235 2015/06/26 00:00:00+00 Bangladesh 2 2 landslide monsoon medium unknown
3919 24.506937 91.588893 2016/11/01 00:00:00+00 Bangladesh 2 0 landslide mining medium natural_slope
2846 22.97758595 91.80439129 2017/06/18 00:00:00+00 Bangladesh 2 0 landslide downpour medium natural_slope
2837 25.178619 92.01280600000001 2017/03/16 00:00:00+00 Bangladesh 2 2 landslide mining small above_river
2786 21.04270451 92.21525816 2017/06/14 00:00:00+00 Bangladesh 2 0 landslide downpour medium natural_slope
2493 24.3311 91.5642 2015/02/09 00:00:00+00 Bangladesh 2 0 other mining small mine
1851 24.70412149 92.23034662 2017/06/18 00:00:00+00 Bangladesh 2 0 landslide rain medium natural_slope
1135 22.3496 91.8138 2015/09/21 00:00:00+00 Bangladesh 2 0 landslide rain medium unknown
1079 22.59420297 92.16404889 2017/06/12 00:00:00+00 Bangladesh 2 0 landslide rain medium ...
984 22.0104 91.9538 2015/06/01 00:00:00+00 Bangladesh 2 1 landslide mining medium natural_slope
12440 22.3507 91.8147 2015/07/19 00:00:00+00 Bangladesh 3 0 other downpour small urban
11562 21.46095997 92.254563 2018/05/21 00:00:00+00 Bangladesh 3 2 landslide construction small engineered_slope
10426 22.5333 89.4 2007/10/15 00:00:00+00 Bangladesh 3 0 mudslide rain medium unknown
10180 22.64753 92.15455 2017/03/16 00:00:00+00 Bangladesh 3 1 landslide construction small natural_slope
5064 22.46515292 92.06196614 2017/12/30 00:00:00+00 Bangladesh 3 0 landslide mining medium natural_slope
4837 24.4136 91.7561 2014/05/10 00:00:00+00 Bangladesh 3 0 landslide rain small unknown
2464 22.3913 91.8177 2015/07/19 00:00:00+00 Bangladesh 3 0 landslide downpour small urban
1133 22.6368 92.1453 2007/06/11 00:00:00+00 Bangladesh 3 0 mudslide downpour medium unknown
12272 22.0 92.3333 2010/06/15 00:00:00+00 Bangladesh 4 0 landslide downpour medium unknown
7482 23.7118 90.4077 2011/07/19 00:00:00+00 Bangladesh 4 0 landslide downpour large unknown
5321 20.92263267 92.23064284 2010/06/15 00:00:00+00 Bangladesh 4 0 landslide downpour medium unknown
3114 21.23291114 92.19905362 2010/06/15 00:00:00+00 Bangladesh 4 0 landslide downpour medium unknown
1762 25.1472 91.7483 2015/02/22 00:00:00+00 Bangladesh 4 0 mudslide mining medium mine
6806 25.08734272 91.75063827 2017/01/23 00:00:00+00 Bangladesh 5 0 landslide mining small mine
4555 20.9383 92.2195 2015/07/27 00:00:00+00 Bangladesh 5 0 landslide continuous_rain medium natural_slope
8094 24.3083 91.7333 2009/05/18 00:00:00+00 Bangladesh 6 0 mudslide downpour medium unknown
4999 21.87861504 92.2676503 2017/06/13 00:00:00+00 Bangladesh 6 0 landslide downpour large ...
1958 21.23704301 92.19530189 2010/06/15 00:00:00+00 Bangladesh 6 0 landslide downpour medium unknown
12624 20.92931962 92.22263842 2010/06/15 00:00:00+00 Bangladesh 7 0 landslide downpour medium unknown
12197 21.7773 92.1991 2015/08/01 00:00:00+00 Bangladesh 7 3 mudslide continuous_rain small unknown
5320 22.2251 92.19 2009/07/31 00:00:00+00 Bangladesh 10 0 landslide downpour medium unknown
6214 22.3421 91.8242 2008/08/18 00:00:00+00 Bangladesh 11 0 landslide monsoon medium unknown
1972 22.344 91.8161 2011/07/01 00:00:00+00 Bangladesh 17 0 landslide downpour large unknown
8725 22.65242372 92.15898865 2017/06/13 00:00:00+00 Bangladesh 18 0 landslide downpour large natural_slope
13480 21.44 92.0 2008/07/03 00:00:00+00 Bangladesh 20 0 landslide downpour medium unknown
7137 21.06313524 92.19566765 2010/06/15 00:00:00+00 Bangladesh 31 0 landslide downpour large unknown
1783 22.3312 91.8252 2012/06/24 00:00:00+00 Bangladesh 31 0 landslide downpour large unknown
2780 22.35037081 91.83258101 2017/06/13 00:00:00+00 Bangladesh 33 0 landslide continuous_rain large urban
12838 21.7684 92.3783 2012/06/24 00:00:00+00 Bangladesh 36 0 landslide downpour large unknown
5813 21.38070054 92.01072983 2012/06/24 00:00:00+00 Bangladesh 41 0 landslide downpour large unknown
71 22.44394492 91.97239273 2017/06/13 00:00:00+00 Bangladesh 50 0 landslide downpour large natural_slope
11912 22.74955141 92.22099982 2017/06/13 00:00:00+00 Bangladesh 105 0 landslide continuous_rain large unknown
4469 22.3555 91.8205 2007/06/11 00:00:00+00 Bangladesh 128 150 landslide monsoon very_large urban
13361 27.21962595 89.5187916 2010/05/20 00:00:00+00 Bhutan 0 0 landslide downpour medium above_road
13129 27.3144 89.545 2009/10/15 00:00:00+00 Bhutan 0 0 mudslide rain small unknown
13068 26.8597 89.3903 2012/09/15 00:00:00+00 Bhutan 0 0 landslide downpour large unknown
12810 27.0674 89.5615 2010/07/22 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
12649 27.5205 89.7466 2012/09/14 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
12500 27.02856666 89.57220662 2017/07/08 00:00:00+00 Bhutan 0 0 landslide downpour small above_road
11427 27.51353298 89.79033898 2017/07/08 00:00:00+00 Bhutan 0 0 landslide downpour small above_road
9997 27.04040393 89.90633458 2017/07/08 00:00:00+00 Bhutan 0 0 landslide downpour small above_road
8690 27.21898773 89.5187916 2010/05/21 00:00:00+00 Bhutan 0 0 landslide downpour medium above_road
7765 27.16009861 91.6036289 2017/07/08 00:00:00+00 Bhutan 0 0 landslide rain small above_road
5195 27.21782272 89.51924545 2010/07/13 00:00:00+00 Bhutan 0 0 complex downpour medium above_road
2886 27.0971 90.4032 2007/09/10 00:00:00+00 Bhutan 0 0 landslide rain medium unknown
2800 26.8928 89.4497 2009/08/18 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
2638 27.0502 89.9442 2010/07/21 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
2095 27.0524 90.4997 2009/10/06 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
1814 27.02099026 89.90712175 2017/07/08 00:00:00+00 Bhutan 0 0 landslide downpour medium above_road
1374 27.05 90.8 2008/08/29 00:00:00+00 Bhutan 0 0 mudslide rain medium unknown
1114 27.8122 89.9019 2010/07/22 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
539 27.256 90.5257 2012/04/06 00:00:00+00 Bhutan 0 0 complex unknown medium unknown
176 27.5 90.5034 2010/08/23 00:00:00+00 Bhutan 0 0 landslide downpour medium unknown
11537 27.044 89.5744 2009/08/18 00:00:00+00 Bhutan 1 0 landslide downpour medium unknown
5555 27.5003 90.5081 2011/07/21 00:00:00+00 Bhutan 1 0 landslide downpour medium unknown
4957 27.0667 89.5833 2007/09/07 00:00:00+00 Bhutan 2 0 landslide rain medium unknown
13476 26.8599 89.3943 2010/07/21 00:00:00+00 Bhutan 3 0 landslide downpour medium unknown
4858 27.4373 90.4678 2015/08/14 00:00:00+00 Bhutan 5 0 landslide mining medium mine
2656 26.7969 89.59100000000001 2008/06/07 00:00:00+00 Bhutan 12 0 complex rain medium unknown
13140 4.4999 114.6667 2007/02/11 00:00:00+00 Brunei Darussalam 0 0 landslide rain small unknown
12364 4.6967 114.7247 2011/06/07 00:00:00+00 Brunei Darussalam 0 0 landslide downpour small unknown
9290 4.8057 114.6671 2010/09/09 00:00:00+00 Brunei Darussalam 0 0 landslide downpour medium unknown
8086 4.678999999999999 114.5042 2011/01/25 00:00:00+00 Brunei Darussalam 0 0 landslide downpour medium unknown
7739 4.9726 115.0182 2011/02/16 00:00:00+00 Brunei Darussalam 0 0 landslide downpour small unknown
7660 4.6401 114.4396 2008/01/03 00:00:00+00 Brunei Darussalam 0 0 landslide rain small unknown
7226 4.9833 114.917 2007/01/08 00:00:00+00 Brunei Darussalam 0 0 landslide rain medium unknown
6368 4.9721 114.9659 2010/08/20 00:00:00+00 Brunei Darussalam 0 0 landslide downpour medium unknown
4363 4.9879 114.9553 2008/10/26 00:00:00+00 Brunei Darussalam 0 0 complex downpour medium unknown
3840 4.8333 114.8333 2010/01/20 00:00:00+00 Brunei Darussalam 0 0 landslide downpour medium unknown
2611 4.9558 114.9881 2008/10/26 00:00:00+00 Brunei Darussalam 0 0 complex downpour medium unknown
1109 4.5864 115.1648 2010/01/18 00:00:00+00 Brunei Darussalam 0 0 landslide downpour medium unknown
7414 5.031000000000001 115.0668 2009/01/22 00:00:00+00 Brunei Darussalam 2 0 landslide downpour medium unknown
2946 11.36244543 105.006749 2017/03/25 00:00:00+00 Cambodia 0 0 landslide other medium above_river
10668 12.856627 102.60828599999999 2016/11/26 00:00:00+00 Cambodia 2 0 rock_fall construction small engineered_slope
2203 13.7934 102.8987 2016/10/16 00:00:00+00 Cambodia 3 0 rock_fall rain medium mine
13477 26.9929 114.9203 2012/06/25 00:00:00+00 China 0 0 landslide downpour medium above_road
13463 29.66239066 107.1969335 2010/07/05 00:00:00+00 China 0 0 landslide downpour medium above_road
13441 29.6491 94.3615 2011/06/13 00:00:00+00 China 0 0 landslide rain medium unknown
13422 23.7273 109.2347 2010/06/03 00:00:00+00 China 0 0 landslide downpour medium unknown
13405 25.4549 119.0076 2011/09/01 00:00:00+00 China 0 0 landslide rain medium unknown
13338 28.2154 110.2225 2010/05/18 00:00:00+00 China 0 0 landslide downpour medium unknown
13314 30.7341 104.09200000000001 2011/07/02 00:00:00+00 China 0 0 mudslide downpour large unknown
13281 22.76 113.24700000000001 2007/06/11 00:00:00+00 China 0 0 mudslide downpour medium unknown
13279 25.7262 108.7399 2015/12/11 00:00:00+00 China 0 0 landslide unknown medium urban
13246 26.314 119.0562 2016/07/09 00:00:00+00 China 0 2 mudslide tropical_cyclone medium unknown
13237 31.2025 97.2296 2015/06/24 00:00:00+00 China 0 0 landslide downpour medium above_road
13085 24.3153 109.3799 2010/06/06 00:00:00+00 China 0 0 landslide downpour medium unknown
13064 28.0878 108.6966 2015/01/17 00:00:00+00 China 0 0 landslide rain large deforested_slope
13044 26.4457 118.2043 2016/10/01 00:00:00+00 China 0 0 landslide tropical_cyclone large unknown
13032 30.0315 101.0144 2011/07/14 00:00:00+00 China 0 0 debris_flow downpour large unknown
13026 36.5851 109.4875 2013/07/07 00:00:00+00 China 0 0 landslide downpour large unknown
13025 25.1193 121.8962 2013/08/31 00:00:00+00 China 0 2 rock_fall tropical_cyclone medium unknown
12992 23.475 120.8994 2010/05/23 00:00:00+00 China 0 0 landslide downpour medium unknown
12883 38.9325 121.553 2007/06/28 00:00:00+00 China 0 0 landslide rain small unknown
